ASIGN_VALDYTOJAS,TIEKEJAS,POZYMIS,PROGRAMA,FIN_SALTINIS,SAMATA,SASKAITOS_NR,SASKAITOS_DATA,VALIUTA,SASKAITOS_SUMA,APMOKETA,APMOKETA_IKI_EIN_METU,APMOKETA_I_KETV,APMOKETA_II_KETV,APMOKETA_III_KETV,APMOKETA_IV_KETV,PASTABA,SUT_NR_FVAS,SUT_NR_AVILYS,ITRAUK_SUMA,PAR_DATA,PAR_NR
188710061,"PALUCKAS, GINTAUTAS","Tarybos narys",16030101,01,1000012,AV2016/10,29-JAN-16,EUR,156,0,0,0,0,0,0,,-,-,,,
188710061,"PALUCKAS, GINTAUTAS","Tarybos narys",16030101,01,1000012,AV2016/143,18-MAY-16,EUR,61.9,0,0,0,0,0,0,,-,-,,,
188710061,"PALUCKAS, GINTAUTAS","Tarybos narys",16030101,01,1000012,AV2016/180,29-JUN-16,EUR,207,0,0,0,0,0,0,,-,-,,,
188710061,"ILGIUS, VAIDOTAS","Tarybos narys",16010101,01,1000002,AV2016/72,31-MAR-16,EUR,446.54,0,0,0,0,0,0,,-,-,,,
188710061,"IMBRASAS, JUOZAS","Tarybos narys",16010101,01,1000002,AV2015/292,30-JUN-15,EUR,667,0,0,0,0,0,0,,-,-,,,
188710061,"KAMINSKI, JAROSLAV","Tarybos narys",16030101,01,1000012,AV2015/191,20-APR-15,EUR,159.83,0,0,0,0,0,0,,-,-,,,
188710061,"KAMINSKI, JAROSLAV","Tarybos narys",16010101,01,1000002,AV2015/371,30-SEP-15,EUR,778.74,0,0,0,0,0,0,,-,-,,,
188710061,"KAMINSKI, JAROSLAV","Tarybos narys",16030101,01,1000012,AV2015/38,25-FEB-15,EUR,176.69,0,0,0,0,0,0,,-,-,,,
188710061,"KAMINSKI, JAROSLAV","Tarybos narys",16030101,01,1000012,AV2015/4,30-JAN-15,EUR,178.42,0,0,0,0,0,0,,-,-,,,
188710061,"KAMINSKI, JAROSLAV","Tarybos narys",16010101,01,1000002,AV2015/482,31-DEC-15,EUR,730.65,0,0,0,0,0,0,,-,-,,,
188710061,"KAMINSKI, JAROSLAV","Tarybos narys",16010101,01,1000002,AV2015/8,08-JAN-15,EUR,75.32,0,0,0,0,0,0,,-,-,,,
188710061,"KAMINSKI, JAROSLAV","Tarybos narys",16010101,01,1000002,AV2016/76,31-MAR-16,EUR,820.54,0,0,0,0,0,0,,-,-,,,
188710061,"NĖNIUS, KĘSTUTIS","Tarybos narys",16010101,01,1000002,1-1621/26-12,04-DEC-14,EUR,289.62,289.62,289.62,0,0,0,0,,-,-,,,
188710061,"MARTIKONIS, VIDMANTAS","Tarybos narys",16010101,01,1000002,AV2016/84,31-MAR-16,EUR,595.61,0,0,0,0,0,0,,-,-,,,
188710061,"BALČIŪNIENĖ, RITA","Tarybos narys",16010101,01,1000002,AV2015/280,30-JUN-15,EUR,143.5,0,0,0,0,0,0,,-,-,,,
188710061,"BENKUNSKAS, VALDAS","Tarybos narys",16030101,01,1000012,AV2015/437,02-NOV-15,EUR,172.6,0,0,0,0,0,0,,-,-,,,
188710061,"BENKUNSKAS, VALDAS","Tarybos narys",16030101,01,1000012,AV2016/142,03-MAY-16,EUR,43.1,0,0,0,0,0,0,,-,-,,,
188710061,"BENKUNSKAS, VALDAS","Tarybos narys",16030101,01,1000012,AV2016/238,14-JUL-16,EUR,30.17,0,0,0,0,0,0,,-,-,,,
188710061,"BENKUNSKAS, VALDAS","Tarybos narys",16030101,01,1000012,AV2016/6,11-JAN-16,EUR,20.9,0,0,0,0,0,0,,-,-,,,
188710061,"BENKUNSKAS, VALDAS","Tarybos narys",16010101,01,1000002,AV2016/63,31-MAR-16,EUR,333.46,0,0,0,0,0,0,,-,-,,,
188710061,"KUZMICKIENĖ, PAULĖ","Tarybos narys",16010101,01,1000002,AV2015/486,31-DEC-15,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"SAKSON, GŽEGOŽ","Tarybos narys",16010101,01,1000002,AV2015/389,30-SEP-15,EUR,892.91,0,0,0,0,0,0,,-,-,,,
188710061,"MONKEVIČIUS, MIROSLAVAS","Tarybos narys",16010101,01,1000002,AV2016/214,30-JUN-16,EUR,859.43,0,0,0,0,0,0,,-,-,,,
188710061,"STORPIRŠTIS, GEDIMINAS","Tarybos narys",16010101,01,1000002,AV2016/225,30-JUN-16,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"STORPIRŠTIS, GEDIMINAS","Tarybos narys",16010101,01,1000002,AV2016/96,31-MAR-16,EUR,330.02,0,0,0,0,0,0,,-,-,,,
188710061,"SKUČAS, ŠARŪNAS","Tarybos narys",16010101,01,1000002,AV2015/316,30-JUN-15,EUR,583.23,0,0,0,0,0,0,,-,-,,,
188710061,"SKUČAS, ŠARŪNAS","Tarybos narys",16010101,01,1000002,AV2016/224,30-JUN-16,EUR,863.21,0,0,0,0,0,0,,-,-,,,
188710061,"DARIUS KUOLYS","Tarybos narys",16010101,01,1000002,AV2016/207,30-JUN-16,EUR,255.57,0,0,0,0,0,0,,-,-,,,
188710061,"DARIUS KUOLYS","Tarybos narys",16010101,01,1000002,AV2016/80,31-MAR-16,EUR,167.61,0,0,0,0,0,0,,-,-,,,
188710061,"GNEUŠEV, DMITRIJ","Tarybos narys",16010101,01,1000002,AV2015/403,30-SEP-15,EUR,892.91,0,0,0,0,0,0,,-,-,,,
188710061,"JURGUTIS, VINCAS","Tarybos narys",16010101,01,1000002,AV2015/370,30-SEP-15,EUR,241.47,0,0,0,0,0,0,,-,-,,,
188710061,"JURGUTIS, VINCAS","Tarybos narys",16010101,01,1000002,AV2016/75,31-MAR-16,EUR,882.96,0,0,0,0,0,0,,-,-,,,
188710061,"KATINAS, ANDRIUS","Tarybos narys",16010101,01,1000002,AV2015/296,30-JUN-15,EUR,667,0,0,0,0,0,0,,-,-,,,
188710061,"KONTRIMIENĖ, AUKSĖ","Tarybos narys",16010101,01,1000002,AV2015/297,30-JUN-15,EUR,162.18,0,0,0,0,0,0,,-,-,,,
188710061,"KONTRIMIENĖ, AUKSĖ","Tarybos narys",16010101,01,1000002,AV2015/468,10-DEC-15,EUR,896.5,0,0,0,0,0,0,,-,-,,,
188710061,"KONTRIMIENĖ, AUKSĖ","Tarybos narys",16010101,01,1000002,AV2016/205,30-JUN-16,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"KONTRIMIENĖ, AUKSĖ","Tarybos narys",16010101,01,1000002,AV2016/79,31-MAR-16,EUR,732.15,0,0,0,0,0,0,,-,-,,,
188710061,"TUMELIS, SKIRMANTAS","Tarybos narys",16010101,01,1000002,AV2015/325,30-JUN-15,EUR,104.6,0,0,0,0,0,0,,-,-,,,
188710061,"TUMELIS, SKIRMANTAS","Tarybos narys",16010101,01,1000002,AV2016/103,31-MAR-16,EUR,172.63,0,0,0,0,0,0,,-,-,,,
188710061,"MITALAS, VYTAUTAS","Tarybos narys",16010101,01,1000002,AV2015/381,30-SEP-15,EUR,890.84,0,0,0,0,0,0,,-,-,,,
188710061,"MITALAS, VYTAUTAS","Tarybos narys",16010101,01,1000002,AV2015/491,31-DEC-15,EUR,704.61,0,0,0,0,0,0,,-,-,,,
188710061,"MITALAS, VYTAUTAS","Tarybos narys",16010101,01,1000002,AV2016/213,30-JUN-16,EUR,839.94,0,0,0,0,0,0,,-,-,,,
188710061,"CYTACKA, RENATA","Tarybos narys",16010101,01,1000002,AV2015/287,30-JUN-15,EUR,656.45,0,0,0,0,0,0,,-,-,,,
188710061,"OLEKAS, JUOZAS","Tarybos narys",16010101,01,1000002,AV2016/89,31-MAR-16,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"ŠIKŠTA, ARŪNAS","Tarybos narys",16010101,01,1000002,AV2015/319,30-JUN-15,EUR,667,0,0,0,0,0,0,,-,-,,,
188710061,"ŠIKŠTA, ARŪNAS","Tarybos narys",16010101,01,1000002,AV2015/510,31-DEC-15,EUR,93.85,0,0,0,0,0,0,,-,-,,,
188710061,"BUŽINSKAS, ADOMAS","Tarybos narys",16010101,01,1000002,AV2015/364,30-SEP-15,EUR,892.91,0,0,0,0,0,0,,-,-,,,
188710061,"BUŽINSKAS, ADOMAS","Tarybos narys",16010101,01,1000002,AV2015/478,31-DEC-15,EUR,872.07,0,0,0,0,0,0,,-,-,,,
188710061,"SEKMOKAS, ARVYDAS","Tarybos narys",16010101,01,1000002,AV2015/314,30-JUN-15,EUR,491.4,0,0,0,0,0,0,,-,-,,,
188710061,"SEKMOKAS, ARVYDAS","Tarybos narys",16010101,01,1000002,AV2015/465,01-DEC-15,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"SEKMOKAS, ARVYDAS","Tarybos narys",16010101,01,1000002,AV2016/154,02-JUN-16,EUR,79.5,0,0,0,0,0,0,,-,-,,,
188710061,"POŠEVECKAJA, ROMUALDA","Tarybos narys",16010101,01,1000002,AV2016/219,30-JUN-16,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"ŠIMAŠIUS, REMIGIJUS","Tarybos narys",16030101,01,1000063,AV2015/349,03-SEP-15,EUR,12.5,0,0,0,0,0,0,,-,-,,,
188710061,"ŠIMAŠIUS, REMIGIJUS","Tarybos narys",16030101,01,1000063,AV2015/350,03-SEP-15,EUR,21.71,0,0,0,0,0,0,,-,-,,,
188710061,"ŠIMAŠIUS, REMIGIJUS","Tarybos narys",16030101,01,1000063,AV2015/442,13-NOV-15,EUR,26.14,0,0,0,0,0,0,,-,-,,,
188710061,"ŠIMAŠIUS, REMIGIJUS","Tarybos narys",16030101,01,1000063,AV2016/124,25-APR-16,EUR,22,0,0,0,0,0,0,,-,-,,,
188710061,"ŠIMAŠIUS, REMIGIJUS","Tarybos narys",16030101,01,1000063,AV2016/185,13-JUN-16,EUR,22,0,0,0,0,0,0,,-,-,,,
188710061,"ŠIMAŠIUS, REMIGIJUS","Tarybos narys",16030101,01,1000063,AV2016/187,17-JUN-16,EUR,32.95,0,0,0,0,0,0,,-,-,,,
188710061,"PODOLSKAITĖ, VIOLETA","Tarybos narys",16010101,01,1000002,AV2015/386,30-SEP-15,EUR,892.91,0,0,0,0,0,0,,-,-,,,
188710061,"PODOLSKAITĖ, VIOLETA","Tarybos narys",16010101,01,1000002,AV2016/170,08-JUN-16,EUR,22,0,0,0,0,0,0,,-,-,,,
188710061,"RUDŽIONIS, GEDIMINAS","Tarybos narys",16010101,01,1000002,AV2015/141,31-MAR-15,EUR,870,0,0,0,0,0,0,,-,-,,,
188710061,"KAMINSKI, JAROSLAV","Tarybos narys",16030101,01,1000012,AV2015-4.3,30-APR-15,EUR,.29,0,0,0,0,0,0,,-,-,,,
188710061,"KAMINSKI, JAROSLAV","Tarybos narys",16010101,01,1000002,AV2015/113,25-MAR-15,EUR,658.93,0,0,0,0,0,0,,-,-,,,
188710061,"KAMINSKI, JAROSLAV","Tarybos narys",16010101,01,1000002,AV2015/30,09-FEB-15,EUR,66.96,0,0,0,0,0,0,,-,-,,,
188710061,"KAMINSKI, JAROSLAV","Tarybos narys",16010101,01,1000002,AV2016/202,30-JUN-16,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"KAMINSKI, JAROSLAV","Tarybos narys",16030101,01,1000012,"SKA 2014/00979",09-DEC-14,EUR,43.44,43.44,43.44,0,0,0,0,,-,-,,,
188710061,"NĖNIUS, KĘSTUTIS","Tarybos narys",16010101,01,1000002,AV2015/308,30-JUN-15,EUR,811.52,0,0,0,0,0,0,,-,-,,,
188710061,"NĖNIUS, KĘSTUTIS","Tarybos narys",16010101,01,1000002,AV2015/63,16-MAR-15,EUR,274.5,0,0,0,0,0,0,,-,-,,,
188710061,"ZUOKAS, ARTŪRAS","Tarybos narys",16030101,01,1000063,AV2015/196,15-APR-15,EUR,304,0,0,0,0,0,0,,-,-,,,
188710061,"ZUOKAS, ARTŪRAS","Tarybos narys",16010101,01,1000002,AV2015/327,30-JUN-15,EUR,421.33,0,0,0,0,0,0,,-,-,,,
188710061,"ZUOKAS, ARTŪRAS","Tarybos narys",16030101,01,1000063,"SUES 4345A",31-JUL-14,EUR,56.48,56.48,56.48,0,0,0,0,,-,-,,,
188710061,"ŠIŠKO, EDITA","Tarybos narys",16010101,01,1000002,AV2015/321,30-JUN-15,EUR,667,0,0,0,0,0,0,,-,-,,,
188710061,"ŠIŠKO, EDITA","Tarybos narys",16010101,01,1000002,AV2016/228,30-JUN-16,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"ŠIŠKO, EDITA","Tarybos narys",16010101,01,1000002,AV2016/99,31-MAR-16,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"URBONAVIČIUS, VIDAS","Tarybos narys",16010101,01,1000002,AV2015/326,30-JUN-15,EUR,665.35,0,0,0,0,0,0,,-,-,,,
188710061,"MARTIKONIS, VIDMANTAS","Tarybos narys",16010101,01,1000002,AV2015/490,31-DEC-15,EUR,601.85,0,0,0,0,0,0,,-,-,,,
188710061,"BALČIŪNIENĖ, RITA","Tarybos narys",16010101,01,1000002,AV2015/363,30-SEP-15,EUR,892.91,0,0,0,0,0,0,,-,-,,,
188710061,"BALČIŪNIENĖ, RITA","Tarybos narys",16010101,01,1000002,AV2016/193,30-JUN-16,EUR,898.8,0,0,0,0,0,0,,-,-,,,
188710061,"BALČIŪNIENĖ, RITA","Tarybos narys",16010101,01,1000002,AV2016/67,31-MAR-16,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"BENKUNSKAS, VALDAS","Tarybos narys",16030101,01,1000012,AV2016/237,04-JUL-16,EUR,122.55,0,0,0,0,0,0,,-,-,,,
188710061,"BENKUNSKAS, VALDAS","Tarybos narys",16030101,01,1000012,AV2016/7,14-JAN-16,EUR,134,0,0,0,0,0,0,,-,-,,,
188710061,"KUZMICKIENĖ, PAULĖ","Tarybos narys",16010101,01,1000002,AV2015/376,30-SEP-15,EUR,892.91,0,0,0,0,0,0,,-,-,,,
188710061,"KUZMICKIENĖ, PAULĖ","Tarybos narys",16010101,01,1000002,AV2016/208,30-JUN-16,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"STORPIRŠTIS, GEDIMINAS","Tarybos narys",16010101,01,1000002,AV2015/501,31-DEC-15,EUR,480.33,0,0,0,0,0,0,,-,-,,,
188710061,"SKUČAS, ŠARŪNAS","Tarybos narys",16010101,01,1000002,AV2015/392,30-SEP-15,EUR,892.91,0,0,0,0,0,0,,-,-,,,
188710061,"KAŠĖTAITĖ, JUSTINA","Tarybos narys",16010101,01,1000002,AV2016/203,30-JUN-16,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"KATINAS, ANDRIUS","Tarybos narys",16010101,01,1000002,AV2015/373,30-SEP-15,EUR,892.91,0,0,0,0,0,0,,-,-,,,
188710061,"KATINAS, ANDRIUS","Tarybos narys",16010101,01,1000002,AV2016/204,30-JUN-16,EUR,847.06,0,0,0,0,0,0,,-,-,,,
188710061,"KONTRIMIENĖ, AUKSĖ","Tarybos narys",16010101,01,1000002,AV2015/374,30-SEP-15,EUR,264.38,0,0,0,0,0,0,,-,-,,,
188710061,"TUMELIS, SKIRMANTAS","Tarybos narys",16010101,01,1000002,AV2016/232,30-JUN-16,EUR,433.21,0,0,0,0,0,0,,-,-,,,
188710061,"MITALAS, VYTAUTAS","Tarybos narys",16010101,01,1000002,AV2015/305,30-JUN-15,EUR,476.43,0,0,0,0,0,0,,-,-,,,
188710061,"CYTACKA, RENATA","Tarybos narys",16010101,01,1000002,AV2015/479,31-DEC-15,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"ŠVENTICKIENĖ, ALDONA","Tarybos narys",16010101,01,1000002,AV2016/100,31-MAR-16,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"IMBRASAS, AUDRONIS","Tarybos narys",16010101,01,1000002,AV2016/73,31-MAR-16,EUR,182,0,0,0,0,0,0,,-,-,,,
188710061,"MALDEIKIENĖ, AUŠRA","Tarybos narys",16010101,01,1000002,AV2015/379,30-SEP-15,EUR,807,0,0,0,0,0,0,,-,-,,,
188710061,"MAJAUSKAS, MYKOLAS","Tarybos narys",16010101,01,1000002,AV2015/377,30-SEP-15,EUR,892.91,0,0,0,0,0,0,,-,-,,,
188710061,"MAJAUSKAS, MYKOLAS","Tarybos narys",16010101,01,1000002,AV2015/487,31-DEC-15,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"MAJAUSKAS, MYKOLAS","Tarybos narys",16010101,01,1000002,AV2016/209,30-JUN-16,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"OLEKAS, JUOZAS","Tarybos narys",16010101,01,1000002,AV2016/217,30-JUN-16,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"ŠIKŠTA, ARŪNAS","Tarybos narys",16010101,01,1000002,AV2016-04.2,26-APR-16,EUR,799.06,0,0,0,0,0,0,,-,-,,,
188710061,"SEKMOKAS, ARVYDAS","Tarybos narys",16010101,01,1000002,AV2016/222,30-JUN-16,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"POŠEVECKAJA, ROMUALDA","Tarybos narys",16010101,01,1000002,AV2015/311,30-JUN-15,EUR,667,0,0,0,0,0,0,,-,-,,,
188710061,"ŠIMAŠIUS, REMIGIJUS","Tarybos narys",16030101,01,1000063,AV2015/257,19-MAY-15,EUR,41.55,0,0,0,0,0,0,,-,-,,,
188710061,"ŠIMAŠIUS, REMIGIJUS","Tarybos narys",16010101,01,1000002,AV2015/415,22-OCT-15,EUR,307.5,0,0,0,0,0,0,,-,-,,,
188710061,"ŠIMAŠIUS, REMIGIJUS","Tarybos narys",16030101,01,1000063,AV2015/420,06-OCT-15,EUR,12.67,0,0,0,0,0,0,,-,-,,,
188710061,"ŠIMAŠIUS, REMIGIJUS","Tarybos narys",16030101,01,1000063,AV2015/421,06-OCT-15,EUR,23.06,0,0,0,0,0,0,,-,-,,,
188710061,"ŠIMAŠIUS, REMIGIJUS","Tarybos narys",16030101,01,1000063,AV2015/424,23-OCT-15,EUR,38.27,0,0,0,0,0,0,,-,-,,,
188710061,"ŠIMAŠIUS, REMIGIJUS","Tarybos narys",16030101,01,1000063,AV2015/463,15-DEC-15,EUR,43.56,0,0,0,0,0,0,,-,-,,,
188710061,"ŠIMAŠIUS, REMIGIJUS","Tarybos narys",16010101,01,1000002,AV2016/43,18-MAR-16,EUR,142.5,0,0,0,0,0,0,,-,-,,,
188710061,"KVEDARAVIČIUS, LINAS","Tarybos narys",16010101,01,1000002,AV2015/283,30-JUN-15,EUR,161.37,0,0,0,0,0,0,,-,-,,,
188710061,"KVEDARAVIČIUS, LINAS","Tarybos narys",16030101,01,1000012,AV2015/439,23-NOV-15,EUR,31.61,0,0,0,0,0,0,,-,-,,,
188710061,"KVEDARAVIČIUS, LINAS","Tarybos narys",16030101,01,1000012,AV2015/455,23-DEC-15,EUR,80.4,0,0,0,0,0,0,,-,-,,,
188710061,"KVEDARAVIČIUS, LINAS","Tarybos narys",16010101,01,1000002,AV2015/474,31-DEC-15,EUR,49.85,0,0,0,0,0,0,,-,-,,,
188710061,"KVEDARAVIČIUS, LINAS","Tarybos narys",16010101,01,1000002,AV2016/131,26-APR-16,EUR,94.02,0,0,0,0,0,0,,-,-,,,
188710061,"KVEDARAVIČIUS, LINAS","Tarybos narys",16010101,01,1000002,AV2016/30,29-FEB-16,EUR,113.2,0,0,0,0,0,0,,-,-,,,
188710061,"KVEDARAVIČIUS, LINAS","Tarybos narys",16030101,01,1000012,AV2016/52,18-MAR-16,EUR,64.06,0,0,0,0,0,0,,-,-,,,
188710061,"PODOLSKAITĖ, VIOLETA","Tarybos narys",16010101,01,1000002,AV2015/355,07-SEP-15,EUR,133,0,0,0,0,0,0,,-,-,,,
188710061,"PODOLSKAITĖ, VIOLETA","Tarybos narys",16010101,01,1000002,AV2016/218,30-JUN-16,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"PALUCKAS, GINTAUTAS","Tarybos narys",16010101,01,1000002,AV2015/419,28-OCT-15,EUR,78,0,0,0,0,0,0,,-,-,,,
188710061,"LIUDKOVSKI, ARTUR","Tarybos narys",16010101,01,1000002,AV2015/300,30-JUN-15,EUR,665.47,0,0,0,0,0,0,,-,-,,,
188710061,"ILGIUS, VAIDOTAS","Tarybos narys",16010101,01,1000002,AV2015/290,30-JUN-15,EUR,108.47,0,0,0,0,0,0,,-,-,,,
188710061,"KAMINSKI, JAROSLAV","Tarybos narys",16010101,01,1000002,AV2015/19,09-FEB-15,EUR,107.26,0,0,0,0,0,0,,-,-,,,
188710061,"KAMINSKI, JAROSLAV","Tarybos narys",16010101,01,1000002,AV2015/294,30-JUN-15,EUR,655.74,0,0,0,0,0,0,,-,-,,,
188710061,"KAMINSKI, JAROSLAV","Tarybos narys",16010101,01,1000002,AV2015/57,16-MAR-15,EUR,313.5,0,0,0,0,0,0,,-,-,,,
188710061,"KAMINSKI, JAROSLAV","Tarybos narys",16010101,01,1000002,AV2015/73,23-MAR-15,EUR,141.68,0,0,0,0,0,0,,-,-,,,
188710061,"KAMINSKI, JAROSLAV","Tarybos narys",16030101,01,1000012,"SAK 0002218",06-NOV-14,EUR,122.8,122.8,122.8,0,0,0,0,,-,-,,,
188710061,"NĖNIUS, KĘSTUTIS","Tarybos narys",16010101,01,1000002,1-1621/26-11,05-NOV-14,EUR,5.81,5.81,5.81,0,0,0,0,,-,-,,,
188710061,"ZUOKAS, ARTŪRAS","Tarybos narys",16030101,01,1000063,AV2015/197,21-APR-15,EUR,1000,0,0,0,0,0,0,,-,-,,,
188710061,"ZUOKAS, ARTŪRAS","Tarybos narys",16010101,01,1000002,AV2015/508,31-DEC-15,EUR,900,0,0,0,0,0,0,,-,-,,,
188710061,"ZUOKAS, ARTŪRAS","Tarybos narys",16010101,01,1000002,AV2015/86,30-MAR-15,EUR,142.5,0,0,0,0,0,0,,-,-,,,
188710061,"ZUOKAS, ARTŪRAS","Tarybos narys",16030101,01,1000063,AV2015/94,17-MAR-15,EUR,72,0,0,0,0,0,0,,-,-,,,
188710061,"ZUOKAS, ARTŪRAS","Tarybos narys",16030101,01,1000063,AV2015/97,23-MAR-15,EUR,347.54,0,0,0,0,0,0,,-,-,,,
188710061,"ZUOKAS, ARTŪRAS","Tarybos narys",16030101,01,1000063,AV2015/98,30-MAR-15,EUR,132,0,0,0,0,0,0,,-,-,,,
